r_[m]    AeroTwst_[deg]  dr_[m]  Chord_[m]  AirfoilFile_[#]
 0.82500  13.9573    0.65000  0.589   1   
 1.47500  13.0025    0.65000  0.979   2   
 2.12500  12.0596    0.65000  1.2728  2   
 2.77500  11.1288    0.65000  1.2276  2   
 3.42500  10.2102    0.65000  1.1823  2   
 4.07500  9.3046     0.65000  1.1368  3   
 4.72500  8.3928     0.65000  1.091   3   
 5.37500  7.4834     0.65000  1.045   3   
 6.02500  6.6249     0.65000  0.999   3   
 6.67500  5.8527     0.65000  0.953   3   
 7.32500  5.1189     0.65000  0.9072  3   
 7.97500  4.4182     0.65000  0.8614  3   
 8.62500  3.7563     0.65000  0.8155  4   
 9.27500  3.1393     0.65000  0.7694  4   
 9.92500  2.5731     0.65000  0.7231  4   
10.57500  2.0579     0.65000  0.6764  4   
11.22500  1.5793     0.65000  0.6295  4   
11.87500  1.1394     0.65000  0.5823  4   
12.52500  0.7418     0.65000  0.5348  5   
13.17500  0.3900     0.65000  0.4871  5    
