BlFract_[-]  AeroCent_[-]  StrcTwst_[deg]  BMassDen_[kg/m]  FlpStff_[Nm^2]       EdgStff_[Nm^2]  GJStff_[Nm^2]     EAStff_[N]     Alpha_[-]  FlpIner_[kg.m]  EdgIner_[kg.m]  PrecrvRef_[m]  PreswpRef_[m]  FlpcgOf_[m]  EdgcgOf_[m]  FlpEAOf_[m]  EdgEAOf_[m]
0.00000  0.250     14.810      90.500   5.26800e+07   5.23200e+07   1.27200e+07   1.34400e+09  0.000    3.565    3.541  0.000      0.000      0.000    0.000    0.000    0.000
0.00769  0.250     14.810      90.500   5.26800e+07   5.23200e+07   1.27200e+07   1.34400e+09  0.000    3.565    3.541  0.000      0.000      0.000    0.000    0.000    0.000
0.01538  0.250     14.810      90.500   5.26800e+07   5.23200e+07   1.27200e+07   1.34400e+09  0.000    3.565    3.541  0.000      0.000      0.000    0.000    0.000    0.000
0.02308  0.250     14.810     101.000   5.07600e+07   6.10000e+07   1.20600e+07   1.48900e+09  0.000    3.439    4.170  0.000      0.000      0.000    0.001    0.000    0.000
0.03846  0.238     14.510      80.250   4.60600e+07   3.59300e+07   4.01400e+06   1.11300e+09  0.000    3.258    2.748  0.000      0.000      0.000    0.007    0.000    0.005
0.04231  0.235     14.440      78.980   4.45400e+07   3.69800e+07   4.09200e+06   1.08800e+09  0.000    3.172    2.857  0.000      0.000      0.000    0.008    0.000    0.006
0.06923  0.215     13.920      87.170   4.46600e+07   5.59700e+07   4.99500e+06   1.18600e+09  0.000    3.214    4.624  0.000      0.000      0.003    0.019    0.003    0.011
0.09231  0.198     13.480      89.640   4.03600e+07   6.29000e+07   4.49900e+06   1.19700e+09  0.000    2.925    5.809  0.000      0.000      0.007    0.030    0.007    0.013
0.11538  0.180     13.030      80.090   3.12400e+07   4.63500e+07   3.11900e+06   1.03100e+09  0.000    2.299    5.245  0.000      0.000      0.013    0.050    0.013    0.021
0.12308  0.184     12.870      79.500   2.95600e+07   4.57800e+07   2.93200e+06   1.02400e+09  0.000    2.174    5.196  0.000      0.000      0.013    0.050    0.013    0.020
0.15385  0.199     12.220      76.060   2.50700e+07   4.17900e+07   2.55800e+06   9.72800e+08  0.000    1.850    4.876  0.000      0.000      0.015    0.051    0.016    0.020
0.18462  0.214     11.570      72.560   2.12000e+07   3.76300e+07   2.21900e+06   9.21700e+08  0.000    1.570    4.510  0.000      0.000      0.017    0.051    0.017    0.020
0.20000  0.221     11.250      70.100   1.93700e+07   3.48300e+07   2.06100e+06   8.84700e+08  0.000    1.439    4.270  0.000      0.000      0.017    0.052    0.017    0.020
0.21538  0.228     10.930      68.930   1.78200e+07   3.33400e+07   1.91100e+06   8.69500e+08  0.000    1.325    4.104  0.000      0.000      0.017    0.052    0.017    0.020
0.23077  0.236     10.600      67.710   1.63900e+07   3.18200e+07   1.77000e+06   8.53800e+08  0.000    1.220    3.932  0.000      0.000      0.017    0.051    0.017    0.020
0.24615  0.243     10.280      65.230   1.49100e+07   2.91200e+07   1.63600e+06   8.17000e+08  0.000    1.113    3.683  0.000      0.000      0.017    0.052    0.017    0.020
0.27692  0.258      9.630      59.580   1.19300e+07   2.46500e+07   1.39700e+06   7.32300e+08  0.000    0.902    3.236  0.000      0.000      0.016    0.053    0.017    0.021
0.28462  0.262      9.470      58.970   1.14200e+07   2.39700e+07   1.34200e+06   7.24600e+08  0.000    0.864    3.151  0.000      0.000      0.016    0.053    0.016    0.021
0.30769  0.273      8.980      56.090   9.94300e+06   2.11600e+07   1.19100e+06   6.83800e+08  0.000    0.756    2.857  0.000      0.000      0.015    0.053    0.016    0.020
0.38462  0.311      7.360      47.640   6.04000e+06   1.47000e+07   7.89800e+05   5.67100e+08  0.000    0.468    2.083  0.000      0.000      0.012    0.052    0.012    0.020
0.43846  0.337      6.230      42.690   4.20400e+06   1.17500e+07   5.90800e+05   4.99500e+08  0.000    0.332    1.701  0.000      0.000      0.009    0.052    0.010    0.021
0.44231  0.339      6.150      42.520   4.18800e+06   1.16100e+07   5.97900e+05   4.97400e+08  0.000    0.331    1.682  0.000      0.000      0.009    0.052    0.010    0.021
0.46154  0.344      5.870      39.940   3.49900e+06   1.06100e+07   5.22500e+05   4.59200e+08  0.000    0.280    1.561  0.000      0.000      0.009    0.053    0.009    0.022
0.53846  0.365      4.730      36.130   2.19600e+06   8.10600e+06   3.41400e+05   4.14200e+08  0.000    0.178    1.208  0.000      0.000      0.008    0.050    0.009    0.021
0.61538  0.386      3.590      32.480   1.34000e+06   6.08300e+06   2.18300e+05   3.71100e+08  0.000    0.110    0.918  0.000      0.000      0.008    0.048    0.008    0.020
0.63077  0.390      3.370      31.770   1.20900e+06   5.72800e+06   1.99100e+05   3.62600e+08  0.000    0.100    0.867  0.000      0.000      0.008    0.047    0.008    0.019
0.73077  0.417      1.890      27.330   6.09500e+05   3.79900e+06   1.09600e+05   3.10400e+08  0.000    0.052    0.584  0.000      0.000      0.007    0.043    0.007    0.018
0.76923  0.417      1.620      25.690   4.62300e+05   3.20400e+06   8.44300e+04   2.91100e+08  0.000    0.039    0.496  0.000      0.000      0.006    0.041    0.007    0.017
0.84615  0.418      1.080      22.520   2.57400e+05   2.22500e+06   5.04500e+04   2.53900e+08  0.000    0.023    0.349  0.000      0.000      0.006    0.038    0.006    0.016
0.87692  0.419      0.860      21.270   1.96400e+05   1.90100e+06   3.99300e+04   2.39300e+08  0.000    0.018    0.299  0.000      0.000      0.005    0.036    0.006    0.015
0.92308  0.419      0.540      19.440   1.24400e+05   1.48200e+06   2.70100e+04   2.18100e+08  0.000    0.011    0.235  0.000      0.000      0.005    0.034    0.005    0.014
0.96154  0.420      0.270      16.160   7.00200e+04   1.13300e+06   1.92600e+04   1.74000e+08  0.000    0.007    0.184  0.000      0.000      0.005    0.036    0.005    0.016
0.96923  0.420      0.220      14.810   1.16300e+05   1.08400e+06   2.42100e+04   1.74000e+08  0.000    0.009    0.155  0.000      0.000      0.005    0.030    0.005    0.015
1.00000  0.420      0.000      14.090   9.03200e+04   9.61400e+05   1.88300e+04   1.73300e+08  0.000    0.007    0.130  0.000      0.000      0.004    0.029    0.004    0.015
