r_[m]	a_(ws=3.0)_[-]	a_(ws=4.0)_[-]	a_(ws=5.0)_[-]	a_(ws=6.0)_[-]	a_(ws=7.0)_[-]	a_(ws=8.0)_[-]	a_(ws=9.0)_[-]	a_(ws=10.0)_[-]	a_(ws=11.0)_[-]	a'_(ws=3.0)_[-]	a'_(ws=4.0)_[-]	a'_(ws=5.0)_[-]	a'_(ws=6.0)_[-]	a'_(ws=7.0)_[-]	a'_(ws=8.0)_[-]	a'_(ws=9.0)_[-]	a'_(ws=10.0)_[-]	a'_(ws=11.0)_[-]	Cn_(ws=3.0)_[-]	Cn_(ws=4.0)_[-]	Cn_(ws=5.0)_[-]	Cn_(ws=6.0)_[-]	Cn_(ws=7.0)_[-]	Cn_(ws=8.0)_[-]	Cn_(ws=9.0)_[-]	Cn_(ws=10.0)_[-]	Cn_(ws=11.0)_[-]	Ct_(ws=3.0)_[-]	Ct_(ws=4.0)_[-]	Ct_(ws=5.0)_[-]	Ct_(ws=6.0)_[-]	Ct_(ws=7.0)_[-]	Ct_(ws=8.0)_[-]	Ct_(ws=9.0)_[-]	Ct_(ws=10.0)_[-]	Ct_(ws=11.0)_[-]	Alpha_(ws=3.0)_[deg]	Alpha_(ws=4.0)_[deg]	Alpha_(ws=5.0)_[deg]	Alpha_(ws=6.0)_[deg]	Alpha_(ws=7.0)_[deg]	Alpha_(ws=8.0)_[deg]	Alpha_(ws=9.0)_[deg]	Alpha_(ws=10.0)_[deg]	Alpha_(ws=11.0)_[deg]	Cl_(ws=3.0)_[-]	Cl_(ws=4.0)_[-]	Cl_(ws=5.0)_[-]	Cl_(ws=6.0)_[-]	Cl_(ws=7.0)_[-]	Cl_(ws=8.0)_[-]	Cl_(ws=9.0)_[-]	Cl_(ws=10.0)_[-]	Cl_(ws=11.0)_[-]	Cd_(ws=3.0)_[-]	Cd_(ws=4.0)_[-]	Cd_(ws=5.0)_[-]	Cd_(ws=6.0)_[-]	Cd_(ws=7.0)_[-]	Cd_(ws=8.0)_[-]	Cd_(ws=9.0)_[-]	Cd_(ws=10.0)_[-]	Cd_(ws=11.0)_[-]	Vrel_(ws=3.0)_[m/s]	Vrel_(ws=4.0)_[m/s]	Vrel_(ws=5.0)_[m/s]	Vrel_(ws=6.0)_[m/s]	Vrel_(ws=7.0)_[m/s]	Vrel_(ws=8.0)_[m/s]	Vrel_(ws=9.0)_[m/s]	Vrel_(ws=10.0)_[m/s]	Vrel_(ws=11.0)_[m/s]
0.825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.76	0.76	0.76	0.76	0.76	0.78	0.8	0.82	-0.65	-0.65	-0.65	-0.65	-0.65	-0.65	-0.62	-0.59	-0.57	49.29	49.66	49.65	49.64	49.61	49.65	51.69	53.64	55.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.307497721594111	4.397904036972993	5.499409802129868	6.599348727400123	7.700833669523157	8.797944794024621	9.743763755170567	10.679744120761036	11.613931932868732
1.475	0.1	0.1	0.1	0.1	0.1	0.1	0.09	0.07	0.06	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.13	0.14	1.01	1.02	1.02	1.02	1.02	1.02	1.04	1.04	1.06	0.22	0.22	0.21	0.21	0.21	0.21	0.2	0.19	0.17	29.28	29.69	29.71	29.71	29.69	29.73	32.73	35.82	38.66	0.98	0.99	0.99	0.99	0.99	0.99	0.98	0.95	0.94	0.3	0.32	0.32	0.32	0.32	0.32	0.39	0.46	0.53	3.8777790040956606	5.144455190601336	6.429107329183295	7.715464778983219	9.002796583552339	10.284342201613644	11.162515395315667	11.99372033843352	12.82894483971317
2.125	0.21	0.2	0.2	0.2	0.2	0.2	0.15	0.11	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1.15	1.15	1.14	1.14	1.14	1.14	1.02	0.99	1.01	0.27	0.27	0.27	0.27	0.26	0.27	0.23	0.22	0.21	17.1	17.65	17.69	17.71	17.69	17.73	22.15	25.93	29.09	1.18	1.17	1.17	1.17	1.16	1.17	1.04	0.99	0.98	0.08	0.09	0.09	0.1	0.1	0.1	0.17	0.24	0.31	4.624972900628803	6.129773939470123	7.657999935881432	9.188781724247116	10.721901169345212	12.248043405313437	13.120853634204712	13.860008903634608	14.594571357708032
2.775	0.23	0.23	0.23	0.23	0.23	0.23	0.2	0.15	0.11	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	1.09	1.1	1.1	1.1	1.1	1.1	1.15	1.06	0.99	0.2	0.21	0.21	0.21	0.21	0.21	0.26	0.25	0.23	11.81	12.08	12.11	12.13	12.12	12.14	15.1	19.31	23.02	1.11	1.12	1.12	1.12	1.12	1.12	1.18	1.09	1.0	0.03	0.03	0.03	0.03	0.03	0.03	0.05	0.11	0.18	5.518176262074762	7.303722379125367	9.12205785516534	10.943996486050235	12.769467970022749	14.585553216801587	15.393732582128063	16.06063059056198	16.721727668983025
3.425	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.18	0.14	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.06	0.06	0.94	0.96	0.96	0.96	0.96	0.96	1.07	1.14	1.1	0.14	0.14	0.14	0.14	0.14	0.14	0.2	0.25	0.27	9.27	9.47	9.5	9.51	9.51	9.52	11.6	14.46	17.86	0.95	0.97	0.97	0.97	0.97	0.97	1.09	1.17	1.12	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.08	6.4873168221067035	8.580544483600553	10.714009357969333	12.853097251755825	14.99602872159392	17.129295949187686	17.914016980029334	18.471420827984254	19.053967389986926
4.075	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.21	0.18	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.95	0.96	0.97	0.97	0.97	0.97	1.13	1.21	1.26	0.1	0.1	0.1	0.1	0.1	0.11	0.16	0.22	0.27	6.48	6.63	6.64	6.66	6.65	6.66	8.3	10.95	13.71	0.95	0.97	0.97	0.97	0.97	0.97	1.14	1.23	1.28	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.04	7.475418585578591	9.88548474114586	12.342063528707426	14.804281570448456	17.27190367124771	19.72957024447592	20.517903663421038	21.01840284780918	21.528659328136104
4.725	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.19	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.84	0.85	0.86	0.86	0.86	0.86	1.02	1.17	1.22	0.07	0.08	0.08	0.08	0.08	0.08	0.12	0.18	0.23	5.54	5.66	5.68	5.69	5.69	5.7	7.11	9.08	11.57	0.84	0.86	0.86	0.86	0.86	0.86	1.02	1.18	1.25	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	8.503528165393758	11.244723352587355	14.036542308750354	16.835992830445335	19.641725813447515	22.436730127832092	23.252127806193943	23.688199492243943	24.146765144187825
5.375	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.22	0.2	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.76	0.78	0.78	0.78	0.78	0.78	0.93	1.1	1.2	0.06	0.06	0.06	0.06	0.06	0.06	0.1	0.14	0.2	4.88	5.0	5.01	5.03	5.02	5.03	6.31	7.97	10.03	0.77	0.78	0.78	0.78	0.78	0.78	0.93	1.11	1.21	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	9.544970076715869	12.621411162634931	15.754595754525518	18.895967870404228	22.044158980585323	25.181315744648703	26.034600783526074	26.42977366723797	26.838741329384234
6.025	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.71	0.72	0.73	0.73	0.73	0.73	0.86	1.03	1.16	0.05	0.05	0.05	0.05	0.05	0.05	0.08	0.12	0.17	4.42	4.53	4.54	4.55	4.55	4.56	5.74	7.25	8.94	0.71	0.72	0.73	0.73	0.73	0.73	0.87	1.04	1.18	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	10.59758762511047	14.012417612072927	17.489815059590537	20.976777332558918	24.471136037603436	27.95398604406555	28.851040632963606	29.217462948747507	29.586970980789634
6.675	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.67	0.68	0.68	0.69	0.68	0.69	0.82	0.97	1.12	0.04	0.04	0.04	0.04	0.04	0.04	0.07	0.11	0.15	4.08	4.18	4.19	4.2	4.2	4.2	5.31	6.71	8.2	0.67	0.68	0.69	0.69	0.69	0.69	0.82	0.98	1.13	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	11.657547937564695	15.41447639510557	19.238532771520013	23.07400703119314	26.917066031551187	30.748366851583317	31.69357910220338	32.03776565323869	32.37887417315602
