r_[m]	a_(ws=3.0)_[-]	a_(ws=4.0)_[-]	a_(ws=5.0)_[-]	a_(ws=6.0)_[-]	a_(ws=7.0)_[-]	a_(ws=8.0)_[-]	a_(ws=9.0)_[-]	a_(ws=10.0)_[-]	a_(ws=11.0)_[-]	a'_(ws=3.0)_[-]	a'_(ws=4.0)_[-]	a'_(ws=5.0)_[-]	a'_(ws=6.0)_[-]	a'_(ws=7.0)_[-]	a'_(ws=8.0)_[-]	a'_(ws=9.0)_[-]	a'_(ws=10.0)_[-]	a'_(ws=11.0)_[-]	Cn_(ws=3.0)_[-]	Cn_(ws=4.0)_[-]	Cn_(ws=5.0)_[-]	Cn_(ws=6.0)_[-]	Cn_(ws=7.0)_[-]	Cn_(ws=8.0)_[-]	Cn_(ws=9.0)_[-]	Cn_(ws=10.0)_[-]	Cn_(ws=11.0)_[-]	Ct_(ws=3.0)_[-]	Ct_(ws=4.0)_[-]	Ct_(ws=5.0)_[-]	Ct_(ws=6.0)_[-]	Ct_(ws=7.0)_[-]	Ct_(ws=8.0)_[-]	Ct_(ws=9.0)_[-]	Ct_(ws=10.0)_[-]	Ct_(ws=11.0)_[-]	Alpha_(ws=3.0)_[deg]	Alpha_(ws=4.0)_[deg]	Alpha_(ws=5.0)_[deg]	Alpha_(ws=6.0)_[deg]	Alpha_(ws=7.0)_[deg]	Alpha_(ws=8.0)_[deg]	Alpha_(ws=9.0)_[deg]	Alpha_(ws=10.0)_[deg]	Alpha_(ws=11.0)_[deg]	Cl_(ws=3.0)_[-]	Cl_(ws=4.0)_[-]	Cl_(ws=5.0)_[-]	Cl_(ws=6.0)_[-]	Cl_(ws=7.0)_[-]	Cl_(ws=8.0)_[-]	Cl_(ws=9.0)_[-]	Cl_(ws=10.0)_[-]	Cl_(ws=11.0)_[-]	Cd_(ws=3.0)_[-]	Cd_(ws=4.0)_[-]	Cd_(ws=5.0)_[-]	Cd_(ws=6.0)_[-]	Cd_(ws=7.0)_[-]	Cd_(ws=8.0)_[-]	Cd_(ws=9.0)_[-]	Cd_(ws=10.0)_[-]	Cd_(ws=11.0)_[-]	Vrel_(ws=3.0)_[m/s]	Vrel_(ws=4.0)_[m/s]	Vrel_(ws=5.0)_[m/s]	Vrel_(ws=6.0)_[m/s]	Vrel_(ws=7.0)_[m/s]	Vrel_(ws=8.0)_[m/s]	Vrel_(ws=9.0)_[m/s]	Vrel_(ws=10.0)_[m/s]	Vrel_(ws=11.0)_[m/s]
0.825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.77	0.77	0.77	0.77	0.77	0.78	0.8	0.82	-0.64	-0.64	-0.64	-0.64	-0.64	-0.64	-0.62	-0.59	-0.57	49.82	50.09	50.1	50.23	50.17	50.14	51.72	53.64	55.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.293259611057326	4.382919652569855	5.478863990070661	6.567943471948504	7.666585827831076	8.76369475726538	9.740869711122226	10.679744120761036	11.613931932868732
1.475	0.1	0.1	0.1	0.1	0.1	0.1	0.09	0.07	0.06	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.13	0.14	1.02	1.02	1.02	1.03	1.03	1.02	1.04	1.04	1.06	0.22	0.21	0.21	0.21	0.21	0.21	0.2	0.19	0.17	30.0	30.33	30.37	30.49	30.45	30.43	32.76	35.82	38.66	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.95	0.94	0.32	0.33	0.34	0.34	0.34	0.34	0.39	0.46	0.53	3.843698678294716	5.104105899467447	6.3777382246731396	7.640799208386477	8.918891709420018	10.196236272239808	11.158304872969303	11.99372033843352	12.82894483971317
2.125	0.2	0.19	0.19	0.19	0.19	0.19	0.14	0.11	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1.14	1.12	1.12	1.12	1.12	1.12	1.03	0.99	1.01	0.28	0.27	0.27	0.26	0.26	0.26	0.23	0.22	0.21	18.15	18.63	18.7	18.85	18.8	18.78	22.19	25.93	29.09	1.17	1.14	1.15	1.15	1.15	1.14	1.04	0.99	0.98	0.1	0.11	0.11	0.12	0.12	0.12	0.17	0.24	0.31	4.5718340199969125	6.065037273073044	7.574087639284918	9.075577045027199	10.593152559996755	12.109137211519482	13.115122126391999	13.859330804419267	14.593927389593452
2.775	0.23	0.23	0.23	0.22	0.22	0.22	0.2	0.15	0.11	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	1.11	1.12	1.12	1.12	1.12	1.12	1.15	1.06	0.99	0.22	0.22	0.22	0.22	0.22	0.22	0.26	0.25	0.23	12.38	12.64	12.69	12.76	12.74	12.73	15.13	19.32	23.02	1.13	1.14	1.14	1.14	1.14	1.14	1.18	1.09	1.0	0.03	0.03	0.03	0.03	0.03	0.03	0.05	0.11	0.18	5.435810800519927	7.20004469367213	8.990260773456606	10.770003255478748	12.570674615385371	14.368727993918894	15.386404559220521	16.058289731988033	16.719479369454344
3.425	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.18	0.14	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.97	0.98	0.99	0.99	0.99	0.99	1.08	1.14	1.09	0.15	0.15	0.15	0.15	0.15	0.15	0.2	0.25	0.27	9.71	9.9	9.94	9.98	9.97	9.97	11.61	14.47	17.87	0.98	1.0	1.0	1.0	1.0	1.0	1.09	1.17	1.12	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.08	6.379211653877197	8.442522479794077	10.538894484077288	12.627366765732738	14.736835745556427	16.843806133468984	17.90509604828138	18.467858895035725	19.050514377862473
4.075	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.21	0.18	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.98	1.0	1.0	1.0	1.0	1.0	1.13	1.21	1.26	0.11	0.11	0.11	0.12	0.12	0.12	0.16	0.22	0.27	6.81	6.95	6.98	7.01	7.0	7.0	8.31	10.96	13.72	0.99	1.0	1.01	1.01	1.01	1.01	1.14	1.23	1.28	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.04	7.343503995301913	9.714784518526542	12.125424929462335	14.528092699220322	16.953922986672644	19.37725819136934	20.50828235198661	21.01437817567394	21.523856796108323
4.725	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.22	0.19	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.87	0.89	0.89	0.89	0.89	0.89	1.02	1.17	1.22	0.08	0.09	0.09	0.09	0.09	0.09	0.12	0.18	0.23	5.83	5.95	5.99	6.0	6.0	6.0	7.12	9.08	11.58	0.88	0.89	0.89	0.9	0.9	0.9	1.02	1.18	1.25	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	8.34848986172618	11.042311908058108	13.779762851121616	16.511895368067133	19.267821126198857	22.021124771137597	23.241212167783377	23.682644377460587	24.140926245506357
5.375	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.22	0.2	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.8	0.81	0.81	0.81	0.81	0.81	0.93	1.1	1.2	0.06	0.07	0.07	0.07	0.07	0.07	0.1	0.15	0.2	5.15	5.26	5.29	5.31	5.31	5.31	6.32	7.97	10.03	0.8	0.81	0.81	0.82	0.82	0.82	0.94	1.11	1.21	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	9.367063946449333	12.388426710422157	15.458312580475312	18.52476763599465	21.614922438979082	24.702776266026902	26.022685385925996	26.423016544554795	26.83103639389412
6.025	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.74	0.75	0.76	0.76	0.76	0.76	0.87	1.03	1.17	0.05	0.06	0.06	0.06	0.06	0.06	0.08	0.12	0.17	4.67	4.77	4.8	4.81	4.81	4.81	5.75	7.25	8.94	0.74	0.75	0.76	0.76	0.76	0.76	0.87	1.04	1.18	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	10.397040726601254	13.748353608992115	17.154515935756464	20.558629718549795	23.98744067686704	27.413182430723754	28.838333578194018	29.209741971836987	29.577122265027903
6.675	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.21	0.2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.7	0.71	0.71	0.71	0.71	0.71	0.82	0.97	1.12	0.05	0.05	0.05	0.05	0.05	0.05	0.07	0.11	0.15	4.31	4.41	4.43	4.44	4.44	4.44	5.32	6.71	8.2	0.7	0.71	0.71	0.72	0.72	0.72	0.82	0.98	1.13	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	11.434517619473137	15.119609022557745	18.864607725088966	22.609480186562262	26.378874918447575	30.145523262431613	31.679638927390762	32.02837712485065	32.366971402315876
